2026-02-05 11:34:53,907 | INFO | ingestion | Loaded table 'blinkit_products' (rows=237, columns=10)
2026-02-05 11:34:54,560 | INFO | ingestion | Loaded table 'blinkit_marketing_performance' (rows=9864, columns=11)
2026-02-05 11:35:00,339 | INFO | ingestion | Loaded table 'blinkit_inventory' (rows=259752, columns=4)
2026-02-05 11:35:02,347 | INFO | ingestion | Loaded table 'blinkit_customer_feedback' (rows=50000, columns=8)
2026-02-05 11:35:09,090 | INFO | ingestion | Loaded table 'blinkit_order_items' (rows=225238, columns=5)
2026-02-05 11:35:10,456 | INFO | ingestion | Loaded table 'blinkit_customers' (rows=25000, columns=11)
2026-02-05 11:35:14,281 | INFO | ingestion | Loaded table 'blinkit_customer_feedback' (rows=50000, columns=8)
2026-02-05 11:35:14,296 | INFO | ingestion | Loaded table 'category_icons' (rows=11, columns=2)
2026-02-05 11:35:16,717 | INFO | ingestion | Loaded table 'blinkit_orders' (rows=50000, columns=10)
2026-02-05 11:35:18,726 | INFO | ingestion | Loaded table 'blinkit_delivery_performance' (rows=50000, columns=8)
2026-02-05 11:35:18,739 | INFO | ingestion | Loaded table 'rating_icon' (rows=5, columns=3)
2026-02-05 11:35:27,514 | INFO | ingestion | Loaded table 'blinkit_products' (rows=237, columns=10)
2026-02-05 11:35:28,159 | INFO | ingestion | Loaded table 'blinkit_marketing_performance' (rows=9864, columns=11)
2026-02-05 11:35:33,805 | INFO | ingestion | Loaded table 'blinkit_inventory' (rows=259752, columns=4)
2026-02-05 11:35:35,832 | INFO | ingestion | Loaded table 'blinkit_customer_feedback' (rows=50000, columns=8)
2026-02-05 11:35:41,790 | INFO | ingestion | Loaded table 'blinkit_order_items' (rows=225238, columns=5)
2026-02-05 11:35:43,187 | INFO | ingestion | Loaded table 'blinkit_customers' (rows=25000, columns=11)
2026-02-05 11:35:46,790 | INFO | ingestion | Loaded table 'blinkit_customer_feedback' (rows=50000, columns=8)
2026-02-05 11:35:46,802 | INFO | ingestion | Loaded table 'category_icons' (rows=11, columns=2)
2026-02-05 11:35:49,213 | INFO | ingestion | Loaded table 'blinkit_orders' (rows=50000, columns=10)
2026-02-05 11:35:51,233 | INFO | ingestion | Loaded table 'blinkit_delivery_performance' (rows=50000, columns=8)
2026-02-05 11:35:51,248 | INFO | ingestion | Loaded table 'rating_icon' (rows=5, columns=3)
2026-02-05 11:37:48,983 | INFO | ingestion | Loaded table 'blinkit_products' (rows=237, columns=10)
2026-02-05 11:37:49,608 | INFO | ingestion | Loaded table 'blinkit_marketing_performance' (rows=9864, columns=11)
2026-02-05 11:37:54,988 | INFO | ingestion | Loaded table 'blinkit_inventory' (rows=259752, columns=4)
2026-02-05 11:37:56,933 | INFO | ingestion | Loaded table 'blinkit_customer_feedback' (rows=50000, columns=8)
2026-02-05 11:38:02,833 | INFO | ingestion | Loaded table 'blinkit_order_items' (rows=225238, columns=5)
2026-02-05 11:38:04,164 | INFO | ingestion | Loaded table 'blinkit_customers' (rows=25000, columns=11)
2026-02-05 11:38:07,867 | INFO | ingestion | Loaded table 'blinkit_customer_feedback' (rows=50000, columns=8)
2026-02-05 11:38:07,879 | INFO | ingestion | Loaded table 'category_icons' (rows=11, columns=2)
2026-02-05 11:38:10,368 | INFO | ingestion | Loaded table 'blinkit_orders' (rows=50000, columns=10)
2026-02-05 11:38:12,336 | INFO | ingestion | Loaded table 'blinkit_delivery_performance' (rows=50000, columns=8)
2026-02-05 11:38:12,344 | INFO | ingestion | Loaded table 'rating_icon' (rows=5, columns=3)
